shortwave_radiation,direct_radiation,diffuse_radiation,temperature_2m,windspeed_10m,date
0.0,0.0,0.0,15.6,37.4,2023-01-01 00:00:00
0.0,0.0,0.0,14.8,34.1,2023-01-01 01:00:00
0.0,0.0,0.0,14.2,31.8,2023-01-01 02:00:00
0.0,0.0,0.0,13.9,31.3,2023-01-01 03:00:00
0.0,0.0,0.0,13.7,33.5,2023-01-01 04:00:00
0.0,0.0,0.0,13.2,27.8,2023-01-01 05:00:00
0.0,0.0,0.0,13.1,28.1,2023-01-01 06:00:00
0.0,0.0,0.0,12.6,25.5,2023-01-01 07:00:00
0.0,0.0,0.0,11.8,25.2,2023-01-01 08:00:00
25.0,20.7,23.0,11.9,24.0,2023-01-01 09:00:00
77.0,79.7,64.0,12.2,24.7,2023-01-01 10:00:00
141.0,216.0,92.0,12.5,23.4,2023-01-01 11:00:00
195.0,440.6,83.0,12.7,23.9,2023-01-01 12:00:00
136.0,250.8,75.0,12.6,23.4,2023-01-01 13:00:00
82.0,36.0,75.0,12.4,19.1,2023-01-01 14:00:00
25.0,0.0,25.0,12.0,17.7,2023-01-01 15:00:00
2.0,0.0,2.0,11.8,15.8,2023-01-01 16:00:00
0.0,0.0,0.0,11.6,16.2,2023-01-01 17:00:00
0.0,0.0,0.0,11.0,17.1,2023-01-01 18:00:00
0.0,0.0,0.0,10.8,15.5,2023-01-01 19:00:00
0.0,0.0,0.0,10.8,16.9,2023-01-01 20:00:00
0.0,0.0,0.0,10.7,14.6,2023-01-01 21:00:00
0.0,0.0,0.0,10.7,15.6,2023-01-01 22:00:00
0.0,0.0,0.0,11.1,16.2,2023-01-01 23:00:00
0.0,0.0,0.0,11.4,18.7,2023-01-02 00:00:00
0.0,0.0,0.0,11.7,17.6,2023-01-02 01:00:00
0.0,0.0,0.0,11.9,20.9,2023-01-02 02:00:00
0.0,0.0,0.0,11.9,22.5,2023-01-02 03:00:00
0.0,0.0,0.0,11.7,21.3,2023-01-02 04:00:00
0.0,0.0,0.0,11.7,19.4,2023-01-02 05:00:00
0.0,0.0,0.0,10.6,22.9,2023-01-02 06:00:00
0.0,0.0,0.0,9.4,16.6,2023-01-02 07:00:00
0.0,0.0,0.0,8.5,15.5,2023-01-02 08:00:00
23.0,10.3,22.0,8.6,16.1,2023-01-02 09:00:00
63.0,6.1,62.0,9.0,16.3,2023-01-02 10:00:00
112.0,52.6,100.0,9.5,17.1,2023-01-02 11:00:00
